Bib #,Age,Height (CM),Weight (KG),Wing Span (CM),Vertical Jump (CM),10M Acceleration (S),30M Acceleration (S),Isometric Mid-Thigh Pull (KG),IMTP Relative Strength,20M Shuttle Run (Stage)
Montreal 1,15.16,155.20,59.50,165.00,45.72,2.06,5.04,100,1.68,5.01
Montreal 2,17.74,178.50,69.80,179.00,47.50,1.87,4.58,66,0.95,7.02
Montreal 3,15.25,170.00,55.60,168.00,45.97,1.90,4.77,60,1.08,7.04
Montreal 4,16.05,159.50,55.10,158.50,52.58,1.86,4.76,35,0.64,8.10
Montreal 5,22.63,163.30,65.40,161.00,58.67,1.99,4.98,75,1.15,9.04
Montreal 6,22.35,176.90,71.30,179.20,59.94,1.77,4.38,73,1.02,6.06
Montreal 7,25.06,179.50,78.80,175.00,54.10,1.91,4.61,118,1.50,8.01
Montreal 8,14.60,161.50,57.10,163.00,51.31,1.92,4.88,116,2.03,8.01
Montreal 9,18.63,162.70,65.60,167.50,56.64,1.85,4.65,100,1.52,6.04
Montreal 10,14.83,153.50,44.80,150.50,53.85,1.91,4.84,67,1.50,8.08
Montreal 11,15.86,166.50,59.70,159.00,51.05,1.87,4.58,99,1.66,6.09
Montreal 12,20.85,170.70,62.70,174.00,38.61,1.86,4.70,143,2.28,9.06
Montreal 13,19.80,177.00,89.60,182.00,57.40,1.87,4.60,122,1.36,8.08
Montreal 14,24.98,164.80,72.90,167.00,49.02,2.09,5.24,103,1.41,3.05
Montreal 15,24.43,164.00,54.60,163.00,52.07,1.81,4.43,86,1.58,9.00
Montreal 16,15.39,168.80,71.80,182.00,61.47,1.76,4.45,145,2.02,7.08
Montreal 17,16.33,165.70,60.50,163.00,52.83,1.92,4.87,102,1.69,8.00
Montreal 18,23.03,160.50,64.90,155.00,46.48,1.93,4.82,95,1.46,6.00
Montreal 19,19.01,175.00,71.40,173.00,47.24,1.91,4.85,138,1.93,10.03
Montreal 20,25.76,169.60,70.40,181.00,80.01,1.66,4.32,173,2.46,7.08
Montreal 21,17.62,183.00,77.10,179.00,55.37,1.85,4.47,97,1.26,7.08
Montreal 22,15.77,165.30,77.50,169.00,38.61,2.15,5.55,118,1.52,4.04
Montreal 23,14.46,152.30,53.50,154.00,51.82,1.87,4.71,105,1.96,7.01
Montreal 24,15.81,163.00,46.40,163.00,48.77,1.95,4.98,90,1.94,5.09
Montreal 25,14.32,158.40,46.10,158.00,48.77,1.97,4.88,140,3.04,6.02
Montreal 26,17.63,158.50,60.40,159.00,47.75,1.82,4.52,105,1.74,8.09
Montreal 27,15.79,157.80,57.40,158.00,46.74,1.82,4.49,171,2.98,8.00
Montreal 28,20.78,163.60,76.20,162.30,62.48,1.85,4.71,140,1.84,2.01
Montreal 29,18.55,167.10,60.00,168.50,61.21,1.69,4.24,90,1.50,7.10
Montreal 30,16.24,159.90,51.20,162.00,56.90,1.89,4.70,81,1.58,11.09
Montreal 56,17.93,182.50,60.80,180.50,54.61,1.71,4.32,119,1.96,8.00
Montreal 58,15.18,157.30,59.50,160.00,59.69,1.89,4.73,120,2.02,7.02
Montreal 63,25.57,161.90,61.50,168.00,61.47,1.68,4.23,120,1.95,9.01
Montreal 66,24.72,167.60,70.50,175.30,57.15,1.71,4.32,135,1.91,10.05
Montreal 67,20.34,174.40,73.10,190.00,68.33,1.75,4.27,165,2.26,8.10
Montreal 77,14.44,159.20,60.30,164.00,43.94,1.91,4.75,108,1.79,9.02
Montreal 80,23.36,165.40,73.40,171.00,68.58,1.66,4.25,215,2.93,6.04
Montreal 82,14.27,166.00,52.90,179.00,57.91,1.93,4.67,120,2.27,6.10
Montreal 83,24.95,171.20,86.60,174.00,52.83,1.85,4.68,142,1.64,6.10
Montreal 84,22.82,165.80,72.30,163.00,41.91,1.95,4.94,135,1.87,8.01
Montreal 87,22.16,171.90,67.00,178.00,66.55,1.70,4.17,111,1.66,7.06
Montreal 88,19.40,164.60,58.40,168.00,54.36,1.76,4.39,106,1.82,8.03
Montreal 91,25.08,171.00,77.40,166.00,58.93,1.76,4.42,195,2.52,10.06
Montreal 100,17.06,167.60,60.80,169.40,58.93,1.80,4.36,249,3.01,10.01
Montreal 102,16.08,183.50,69.70,193.50,72.90,1.77,4.48,134,1.92,8.09
Montreal 103,19.25,166.70,60.30,172.00,73.15,1.65,4.29,206,3.42,9.00
Montreal 105,24.43,174.50,71.70,181.00,63.75,1.68,4.10,132,1.84,8.10
Montreal 106,24.02,169.80,67.30,173.00,62.74,1.88,4.61,134,1.99,9.03
Montreal 107,14.75,175.90,68.50,183.00,59.18,1.73,4.29,110,1.61,6.10
Montreal 108,15.44,166.50,60.40,165.00,57.66,1.75,4.45,76,1.26,5.00
Montreal 121,15.22,164.70,60.20,169.00,58.93,1.88,4.72,74,1.23,9.05
Montreal 123,15.24,0.00,0.00,0.00,57.91,1.81,4.58,95,0.00,9.05
Montreal 126,16.68,165.80,55.50,164.50,47.50,1.98,5.09,87,1.57,7.02
Montreal 132,20.84,164.00,84.40,171.00,46.23,1.97,5.07,124,1.47,6.06
Montreal 133,19.74,168.00,82.80,174.00,44.70,1.92,4.95,128,1.55,6.10
Montreal 136,16.83,159.10,60.00,164.50,44.45,2.00,4.96,136,2.27,5.04
Montreal 145,21.64,170.50,65.80,172.40,41.66,2.00,4.97,111,1.69,9.10
Montreal 146,24.55,157.00,58.10,162.00,48.77,1.95,4.97,125,2.15,8.04